"""","新規求職申込件数_件","有効求職者数_人","新規求人延数_人","就労実人員_人","就労延数_人","不就労延数_人"
"平成17年度(2005年度）)","62.0","567.0","0.0","0.0","0.0","3401.0"
"","","","","","",""
"平成18年度(2006年度）)","58.0","572.0","0.0","0.0","0.0","3359.0"
"平成19年度(2007年度）)","236.0","857.0","0.0","0.0","0.0","3541.0"
"平成20年度(2008年度）)","81.0","544.0","0.0","0.0","0.0","3146.0"
"平成21年度(2009年度）)","104.0","728.0","0.0","0.0","0.0","4003.0"
"平成22年度(2010年度）)","106.0","820.0","0.0","0.0","0.0","7705.0"
"","","","","","",""
"平成23年度(2011年度）)","91.0","496.0","0.0","0.0","0.0","9922.0"
"平成24年度(2012年度）)","90.0","1405.0","0.0","0.0","0.0","9470.0"
"平成25年度(2013年度）)","101.0","1154.0","0.0","0.0","0.0","5506.0"
"平成26年度(2014年度）)","82.0","853.0","0.0","0.0","0.0","3069.0"
